canonical_id,datetime_utc,reason,source
aud_cpi,2023-01-10 00:30:00,wrong-year copy of the 2024-01-10 print (identical 4.3/4.4/4.9; the JB archive dated part of Jan-2024 as Jan-2023); real Jan-2023 print present at 2023-01-11 00:30,migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_cpi,2023-01-31 00:30:00,wrong-year copy of the 2024-01-31 print (identical 3.4/3.7/4.3; the JB archive dated part of Jan-2024 as Jan-2023); real Dec-2022 print of this release present at 2023-01-25 00:30 (8.4),migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_cpi,2024-01-07 00:30:00,"JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_employment_change,2023-01-18 00:30:00,wrong-year copy of the 2024-01-18 print (identical -65.1/15.4/72.6; the JB archive dated part of Jan-2024 as Jan-2023); real Jan-2023 print present at 2023-01-19 00:30,migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_employment_change,2024-01-16 00:30:00,"JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_import_prices,2023-02-01 00:30:00,wrong-year copy of the 2024-02-01 print (identical 1.1/0.6/0.8; the JB archive dated part of Jan-2024 as Jan-2023); real Q4-2022 print present at 2023-01-27 00:30 (1.8),migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_import_prices,2024-01-30 00:30:00,"JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_ppi,2024-01-31 00:30:00,"JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_rba_trimmed_mean_cpi,2023-01-31 00:30:00,wrong-year copy of the 2024-01-31 print (identical 0.8/0.9/1.2; the JB archive dated part of Jan-2024 as Jan-2023); real Q4-2022 print present at 2023-01-25 00:30 (1.7),migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_retail_sales,2023-01-09 00:30:00,wrong-year copy of the 2024-01-09 print (identical 2.0/1.2/-0.4; the JB archive dated part of Jan-2024 as Jan-2023); real Jan-2023 print present at 2023-01-11 00:30,migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_retail_sales,2023-01-30 00:30:00,wrong-year copy of the 2024-01-30 print (identical -2.7/-1.9/1.6; the JB archive dated part of Jan-2024 as Jan-2023); real Jan-2023 print present at 2023-01-31 00:30,migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_s_p_global_manufacturing_pmi,2026-02-19 21:00:00,JB 0.0 placeholder on a level/index series next to the real print of the same release,migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_s_p_global_services_pmi,2026-02-19 21:00:00,JB 0.0 placeholder on a level/index series next to the real print of the same release,migrations/2026-09-25_backfill_ff_calendar_pages.py
aud_unemployment_rate,2023-01-18 00:30:00,wrong-year copy of the 2024-01-18 print (identical 3.9/3.9/3.9; the JB archive dated part of Jan-2024 as Jan-2023); real Jan-2023 print present at 2023-01-19 00:30,migrations/2026-09-25_backfill_ff_calendar_pages.py
cad_boc_interest_rate_decision,2023-01-24 14:45:00,wrong-year copy of the 2024-01-24 print (identical 5.0/5.0/5.0; the JB archive dated part of Jan-2024 as Jan-2023); the BoC decision of 2023-01-25 15:00 (4.50) is present,migrations/2026-09-25_backfill_ff_calendar_pages.py
